time,latitude,longitude,altitude,vn,ve,hdop,satellites
60312.000,33.709647,73.091263,506.700,0.000,0.000,4.610,5
60313.000,33.709646,73.091264,506.800,0.000,0.000,4.610,5
60314.000,33.709646,73.091264,506.900,0.000,0.000,4.610,5
60315.000,33.709646,73.091265,507.000,0.000,0.000,4.610,5
60316.000,33.709645,73.091265,507.200,0.000,0.000,4.610,5
60317.000,33.709644,73.091266,507.400,0.000,0.000,4.610,5
60318.000,33.709644,73.091266,507.600,0.000,0.000,4.610,5
60319.000,33.709645,73.091265,507.700,0.000,0.000,4.610,5
60320.000,33.709646,73.091265,507.800,0.000,0.000,4.610,5
60321.000,33.709645,73.091266,508.000,0.000,0.000,4.610,5
60322.000,33.709645,73.091266,508.200,0.000,0.000,4.610,5
60323.000,33.709643,73.091267,508.400,0.000,0.000,4.610,5
60324.000,33.709639,73.091269,508.500,0.000,0.000,4.610,5
60325.000,33.709638,73.091270,508.500,0.000,0.000,4.610,5
60326.000,33.709637,73.091271,508.600,0.000,0.000,4.610,5
60327.000,33.709636,73.091271,508.700,0.000,0.000,4.610,5
60328.000,33.709638,73.091272,508.800,0.000,0.000,4.610,5
60329.000,33.709641,73.091273,508.700,0.000,0.000,4.610,5
60330.000,33.709643,73.091273,508.600,0.000,0.000,4.610,5
60331.000,33.709646,73.091273,508.600,0.000,0.000,4.610,5
60332.000,33.709647,73.091273,508.400,0.000,0.000,4.610,5
60333.000,33.709649,73.091273,508.200,0.000,0.000,4.620,5
60334.000,33.709650,73.091273,508.000,0.000,0.000,4.620,5
60335.000,33.709649,73.091273,507.900,0.000,0.000,4.620,5
60336.000,33.709649,73.091273,507.900,0.000,0.000,4.620,5
60337.000,33.709648,73.091274,507.800,0.000,0.000,4.620,5
60338.000,33.709647,73.091275,507.500,0.000,0.000,4.620,5
60339.000,33.709646,73.091275,507.400,0.000,0.000,4.620,5
60340.000,33.709645,73.091276,507.300,0.000,0.000,4.620,5
60341.000,33.709646,73.091276,507.100,0.000,0.000,4.620,5
60342.000,33.709647,73.091276,506.900,0.000,0.000,4.620,5
60343.000,33.709647,73.091276,506.800,0.000,0.000,4.620,5
60344.000,33.709648,73.091275,506.600,0.000,0.000,4.620,5
60345.000,33.709649,73.091274,506.600,0.000,0.000,4.620,5
60346.000,33.709650,73.091273,506.600,0.000,0.000,4.620,5
60347.000,33.709649,73.091273,506.600,0.000,0.000,4.620,5
60348.000,33.709646,73.091275,506.700,0.000,0.000,4.620,5
60349.000,33.709644,73.091276,506.800,0.000,0.000,4.620,5
60350.000,33.709641,73.091278,507.100,0.000,0.000,4.620,5
60351.000,33.709640,73.091279,507.200,0.000,0.000,4.620,5
60352.000,33.709639,73.091279,507.300,0.000,0.000,4.620,5
60353.000,33.709638,73.091280,507.600,0.000,0.000,4.620,5
60354.000,33.709638,73.091280,507.700,0.000,0.000,4.620,5
60355.000,33.709640,73.091280,507.800,0.000,0.000,4.620,5
60356.000,33.709640,73.091280,507.900,0.000,0.000,4.620,5
60357.000,33.709639,73.091282,508.100,0.000,0.000,4.620,5
60358.000,33.709639,73.091282,508.300,0.000,0.000,4.620,5
60359.000,33.709638,73.091283,508.300,0.000,0.000,4.620,5
60360.000,33.709638,73.091283,508.300,0.000,0.000,4.620,5
60361.000,33.709637,73.091283,508.200,0.000,0.000,1.740,6
60362.000,33.709639,73.091281,508.200,0.000,0.000,1.740,6
60363.000,33.709641,73.091279,508.400,0.000,0.000,1.740,6
60364.000,33.709644,73.091276,508.600,0.000,0.000,1.740,6
60365.000,33.709646,73.091275,508.700,0.000,0.000,1.740,6
60366.000,33.709647,73.091274,508.800,0.000,0.000,1.740,6
60367.000,33.709649,73.091274,509.000,0.000,0.000,1.740,6
60368.000,33.709649,73.091273,508.800,0.000,0.000,1.740,6
60369.000,33.709649,73.091273,508.900,0.000,0.000,1.740,6
60370.000,33.709649,73.091272,509.100,0.000,0.000,1.740,6
60371.000,33.709650,73.091272,509.200,0.000,0.000,1.740,6
60372.000,33.709651,73.091271,509.100,0.000,0.000,1.740,6
60373.000,33.709653,73.091268,508.900,0.000,0.000,1.740,6
60374.000,33.709654,73.091268,509.200,0.000,0.000,1.740,6
60375.000,33.709653,73.091269,509.200,0.000,0.000,1.740,6
60376.000,33.709655,73.091267,508.600,0.000,0.000,1.740,6
60377.000,33.709654,73.091267,508.800,0.000,0.000,1.740,6
60378.000,33.709653,73.091266,509.100,0.000,0.000,1.740,6
60379.000,33.709652,73.091266,509.300,0.000,0.000,1.740,6
60380.000,33.709651,73.091266,509.500,0.000,0.000,1.740,6
60381.000,33.709650,73.091266,509.500,0.000,0.000,1.740,6
