time,ax,ay,az,wx,wy,wz
37030.706,0.016,-0.013,-1.045,4.639,-1.251,-0.900
37030.713,0.019,-0.011,-1.050,4.639,-1.312,-0.870
37030.720,0.020,-0.011,-1.049,4.624,-1.190,-0.916
37030.728,0.020,-0.013,-1.046,4.578,-1.312,-0.961
37030.735,0.018,-0.015,-1.053,4.700,-1.328,-0.961
37030.742,0.023,-0.014,-1.047,4.792,-1.221,-1.038
37030.749,0.015,-0.013,-1.047,4.578,-1.312,-0.839
37030.756,0.021,-0.010,-1.050,4.547,-1.297,-1.083
37030.763,0.022,-0.013,-1.046,4.670,-1.267,-0.794
37030.771,0.022,-0.009,-1.051,4.578,-1.221,-0.794
37030.778,0.018,-0.012,-1.045,4.563,-1.236,-0.885
37030.785,0.019,-0.013,-1.041,4.670,-1.282,-0.946
37030.792,0.019,-0.014,-1.046,4.456,-1.160,-0.885
37030.799,0.022,-0.012,-1.047,4.593,-1.190,-0.870
37030.806,0.016,-0.014,-1.046,4.441,-1.297,-0.961
37030.814,0.020,-0.011,-1.049,4.425,-1.206,-0.977
37030.821,0.021,-0.012,-1.049,4.517,-1.236,-0.946
37030.828,0.018,-0.014,-1.042,4.532,-1.282,-1.114
37030.835,0.017,-0.010,-1.040,4.563,-1.328,-0.992
37030.842,0.022,-0.009,-1.049,4.624,-1.221,-1.007
37030.849,0.021,-0.010,-1.042,4.609,-1.297,-1.038
37030.857,0.020,-0.011,-1.044,4.746,-1.282,-0.885
37030.864,0.016,-0.014,-1.049,4.746,-1.343,-1.007
37030.871,0.018,-0.009,-1.044,4.731,-1.297,-0.839
37030.878,0.018,-0.014,-1.052,4.670,-1.282,-0.961
37030.885,0.019,-0.011,-1.050,4.609,-1.328,-0.946
37030.892,0.022,-0.010,-1.050,4.593,-1.190,-0.885
37030.900,0.016,-0.011,-1.051,4.532,-1.373,-0.778
37030.907,0.021,-0.015,-1.045,4.517,-1.236,-0.900
37030.914,0.019,-0.012,-1.049,4.517,-1.221,-0.900
37030.921,0.018,-0.011,-1.042,4.486,-1.251,-0.885
37030.928,0.019,-0.011,-1.048,4.532,-1.236,-1.007
37030.935,0.018,-0.013,-1.047,4.547,-1.328,-0.824
37030.943,0.021,-0.010,-1.043,4.654,-1.328,-0.656
37030.950,0.022,-0.014,-1.048,4.593,-1.206,-0.931
37030.957,0.015,-0.011,-1.041,4.654,-1.358,-0.946
37030.964,0.016,-0.011,-1.050,4.685,-1.099,-1.038
37030.971,0.023,-0.012,-1.046,4.578,-1.206,-0.870
37030.978,0.019,-0.010,-1.046,4.700,-1.175,-0.931
